Filial;Remetente;Destinatário;Faturado;Origem;Estado Origem;Destino;Estado Destino;Doc/Minuta;Data Frete;N° Referência;N° Manifesto;Nota Fiscal;Agente de Entrega;Agente de Coleta;Ocorrência;Data Ocorrência;Observações ocorrência
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | CACHOEIRINHA | 0014-33;FRIGELAR | RIO DE JANEIRO | 0008-95;FRIGELAR | RIO DE JANEIRO | 0008-95;Cachoeirinha;RS;Rio de Janeiro;RJ;2972/258117;27/10/2025 17:18;;;"=""992836""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | CACHOEIRINHA | 0014-33;ATLAS MRO comercio de EQUIPAMENTOS INDUSTRIAIS LTDA;FRIGELAR | CACHOEIRINHA | 0014-33;Cachoeirinha;RS;Belford Roxo;RJ;2973/258129;27/10/2025 17:23;;;"=""993123""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;FRIO TEC REFRIGERACAO E CLIMATIZACAO LTDA;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;Rio de Janeiro;RJ;1958/259350;28/10/2025 19:17;;;"=""730658""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;JCR COMERCIO E SERVICOS EM REFRIGERACAO LTDA;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;Rio de Janeiro;RJ;1959/259354;28/10/2025 19:19;;;"=""730660""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;ELI REFRIGERACAO E BAZAR DO VILAR LTDA - ME;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;Belford Roxo;RJ;1960/259358;28/10/2025 19:20;;;"=""730572""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;REFRITRONICOS COMERCIO E SERVICOS TECNICOS LTDA ME;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;Rio de Janeiro;RJ;1962/259364;28/10/2025 19:22;;;"=""730521""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;DAKOTTON CONFECCOES LTDA;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;São Gonçalo;RJ;1963/259367;28/10/2025 19:23;;;"=""730375""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;Gilberto Bispo de Roma Junior;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;Rio de Janeiro;RJ;1971/259373;28/10/2025 19:24;;;"=""730376""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;Kaio Rezende;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;Rio de Janeiro;RJ;1972/259378;28/10/2025 19:25;;;"=""730393""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;MARCELO PEREIRA;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;Rio de Janeiro;RJ;1973/259382;28/10/2025 19:27;;;"=""730395""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;TOWER PLAST LTDA;ALEKSANDER DAVID TERAN FERREIRA 02599183774;ALEKSANDER DAVID TERAN FERREIRA 02599183774;São José dos Pinhais;PR;Rio de Janeiro;RJ;39275/259995;29/10/2025 17:00;;;"=""10664""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;GOWSH SHOP;Mariane Prado da Silva Honorato;GOWSH SHOP;Curitiba;PR;Rio de Janeiro;RJ;39292/260220;29/10/2025 18:05;;;"=""992""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;GOWSH SHOP;Francesco Mendonca de Santis Sica;GOWSH SHOP;Curitiba;PR;Rio de Janeiro;RJ;39312/260246;29/10/2025 18:18;;;"=""991""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;GR SERVICOS E ALIMENTACAO LTDA;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;Curitiba;PR;São Gonçalo;RJ;39317/260264;29/10/2025 18:34;;;"=""188616""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;GR SERVICOS E ALIMENTACAO LTDA;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;Curitiba;PR;São Gonçalo;RJ;39317/260264;29/10/2025 18:34;;;"=""188615""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;TATIANE B. S. SANTOS;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;Curitiba;PR;Rio de Janeiro;RJ;39318/260265;29/10/2025 18:35;;;"=""188588""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;SODEXO DO BRASIL COMERCIAL LTDA;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;Curitiba;PR;Rio de Janeiro;RJ;39322/260275;29/10/2025 18:41;;;"=""188576""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;SODEXO DO BRASIL COMERCIAL LTDA;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;Curitiba;PR;Rio de Janeiro;RJ;39322/260275;29/10/2025 18:41;;;"=""188578""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;SODEXO DO BRASIL COMERCIAL LTDA;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;Curitiba;PR;Rio de Janeiro;RJ;39332/260285;29/10/2025 18:47;;;"=""188606""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;B2G COMERCIO ;SEST SAO JOAO DE MERITI-JOSE ALVES LAVOURAS-UN. CN 169;B2G COMERCIO ;Curitiba;PR;São João de Meriti;RJ;39378/260749;30/10/2025 14:01;;;"=""4173""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;Renan Da costa ramos;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;São Gonçalo;RJ;2002/260764;30/10/2025 14:48;;;"=""730719""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;PRESIDENTE VARGAS 542 COMERCIO DE DOCES E BISCOITOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;Rio de Janeiro;RJ;2003/260766;30/10/2025 14:49;;;"=""730740""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;VALTEC ASSISTENCIA TECNICA LTDA;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;São Gonçalo;RJ;2004/260767;30/10/2025 14:49;;;"=""730916""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;CONDOMINIO DO EDIFICIO CHACARA DORA WIEDEMANN;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;Niterói;RJ;2005/260769;30/10/2025 14:50;;;"=""730718""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;187 CENTRAL CARIOCA DE PECAS LTDA;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;Rio de Janeiro;RJ;2006/260770;30/10/2025 14:51;;;"=""730738""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;BEIJA FLOR REFRIGERACAO LTDA;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;Nilópolis;RJ;2007/260771;30/10/2025 14:52;;;"=""730744""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;JTEC REFRIGERACAO;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;Nova Iguaçu;RJ;2011/260781;30/10/2025 15:01;;;"=""730806""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;RONDINELLE NOGUEIRA FIUZA 08153717723;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;São Gonçalo;RJ;2012/260783;30/10/2025 15:02;;;"=""730721""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;OSNI NUNES ;ROMAGNOLE PRODUTOS ELETRICOS S.A;OSNI NUNES ;Agudos;SP;Itaboraí;RJ;33646/260847;30/10/2025 17:07;;;"=""605""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;OSNI NUNES ;PREMAG AÇO E ESTRUTURA DE PRE MOLDADOS;OSNI NUNES ;Agudos;SP;Magé;RJ;33647/260851;30/10/2025 17:12;;;"=""606""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;HB FULLER GRU - 0004-90;KNAUF DO BRASIL LTDA;HB FULLER GRU - 0004-90;Guarulhos;SP;Queimados;RJ;83118/260857;30/10/2025 17:18;;;"=""86925""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;DIGI-TRON - FILIAL AGUDOS;DRY INFORMATICA;DRY INFORMATICA;Agudos;SP;São João de Meriti;RJ;33648/260865;30/10/2025 17:16;;;"=""17171""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;INSTANTSHOP;RLR COMERCIO DE ARTIGOS ESPORTIVOS LTDA;INSTANTSHOP;Botucatu;SP;Niterói;RJ;33652/260899;30/10/2025 17:55;;;"=""5468""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;PPG SUM;ORIGINAL TONALIDADES LTDA;PPG SUM;Sumaré;SP;Rio de Janeiro;RJ;31140/260935;30/10/2025 18:09;;;"=""398683""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;PPG SUM;ORIGINAL TONALIDADES LTDA;PPG SUM;Sumaré;SP;Rio de Janeiro;RJ;31140/260935;30/10/2025 18:09;;;"=""398684""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;PPG SUM;ORIGINAL TONALIDADES LTDA;PPG SUM;Sumaré;SP;Rio de Janeiro;RJ;31140/260935;30/10/2025 18:09;;;"=""398752""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;PPG SUM;ORIGINAL TONALIDADES LTDA;PPG SUM;Sumaré;SP;Rio de Janeiro;RJ;31140/260935;30/10/2025 18:09;;;"=""398765""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;IMPPAR (São Jose dos Pinhais);ROBERTO VIANNA AROUCA;IMPPAR (São Jose dos Pinhais);São José dos Pinhais;PR;Rio de Janeiro;RJ;39403/261088;30/10/2025 18:35;;;"=""43451""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;SUPREMA LUVAS;METALURGICA MOR S.A.;METALURGICA MOR S.A.;Bocaina;SP;Barra do Piraí;RJ;33663/261104;30/10/2025 18:55;;;"=""13802""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FORMILINE INDUSTRIA DE LAMINADOS LTDA;FLORESTA MAD. E ACESS. LTDA ME.;FORMILINE INDUSTRIA DE LAMINADOS LTDA;Suzano;SP;Bom Jesus do Itabapoana;RJ;83346/261210;30/10/2025 19:52;;;"=""579464""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;CHESIQUIMICA LTDA;SSD  DISTRIBUICAO DE MATERIAL DE LIMPEZA E DESCARTAVEIS LTDA;CHESIQUIMICA LTDA;Ponta Grossa;PR;Rio de Janeiro;RJ;57154/261263;30/10/2025 20:12;;;"=""87987""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FORMILINE INDUSTRIA DE LAMINADOS LTDA;BORGES DE FREITAS COMERCIAL LTDA;FORMILINE INDUSTRIA DE LAMINADOS LTDA;Suzano;SP;Campos dos Goytacazes;RJ;83342/261296;30/10/2025 20:31;;;"=""579563""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FORMILINE INDUSTRIA DE LAMINADOS LTDA;DUQUEBRAS COM DE PLAS TEC E ACESS E;FORMILINE INDUSTRIA DE LAMINADOS LTDA;Suzano;SP;Duque de Caxias;RJ;83339/261302;30/10/2025 20:35;;;"=""579564""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;DANFOSS - EMBU;OSMAG MATRIZ RIO DE JANEIRO;OSMAG MATRIZ RIO DE JANEIRO;Embu das Artes;SP;Rio de Janeiro;RJ;83291/261462;30/10/2025 00:00;"=""2012098640""";;"=""181574""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;DANFOSS - EMBU;OSMAG MATRIZ RIO DE JANEIRO;OSMAG MATRIZ RIO DE JANEIRO;Embu das Artes;SP;Rio de Janeiro;RJ;83291/261462;30/10/2025 00:00;"=""2012098640""";;"=""181712""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;DANFOSS - EMBU;OSMAG MATRIZ RIO DE JANEIRO;OSMAG MATRIZ RIO DE JANEIRO;Embu das Artes;SP;Rio de Janeiro;RJ;83291/261462;30/10/2025 00:00;"=""2012098640""";;"=""181572""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;DANFOSS - EMBU;OSMAG MATRIZ RIO DE JANEIRO;OSMAG MATRIZ RIO DE JANEIRO;Embu das Artes;SP;Rio de Janeiro;RJ;83291/261462;30/10/2025 00:00;"=""2012098640""";;"=""181754""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | OSASCO | 0002-08;JMB SERVICE PECAS E SERVICOS LTDA;FRIGELAR | OSASCO | 0002-08;Osasco;SP;Rio de Janeiro;RJ;83309/261512;31/10/2025 00:00;;;"=""1114577""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FUSAO ACESSORIOS INDUSTRIAIS LTDA;JX CONSTRUTORA LTDA;FUSAO ACESSORIOS INDUSTRIAIS LTDA;São Paulo;SP;Belford Roxo;RJ;83399/261695;31/10/2025 15:00;;;"=""30618""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;W. S. LUCAS - LUCATON AQUECIMENTO E RESFRIAMENTO;CONSTROI ARQUITETURA E ENGENHARIA LTDA;CONSTROI ARQUITETURA E ENGENHARIA LTDA;Cabreúva;SP;Rio de Janeiro;RJ;83400/261699;31/10/2025 15:07;;;"=""752""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FOSECO INDUSTRIAL E COMERCIAL LTDA;CMBA ;CMBA ;Osasco;SP;Rio de Janeiro;RJ;83411/261740;31/10/2025 15:33;;;"=""401079""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MUSTANG PLURON QUIMICA LTDA.;AGROPECUARIA E MINERADORA OURO BRANCO LTDA;MUSTANG PLURON QUIMICA LTDA.;Osasco;SP;Guapimirim;RJ;83419/261757;31/10/2025 16:08;;;"=""477355""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MUSTANG PLURON QUIMICA LTDA.;BOM GOSTO 2010 COMERCIO DE ALIMENTOS LTDA.;MUSTANG PLURON QUIMICA LTDA.;Osasco;SP;Magé;RJ;83425/261769;31/10/2025 16:13;;;"=""477357""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MUSTANG PLURON QUIMICA LTDA.;BOM GOSTO 2010 COMERCIO DE ALIMENTOS LTDA.;MUSTANG PLURON QUIMICA LTDA.;Osasco;SP;Magé;RJ;83425/261769;31/10/2025 16:13;;;"=""477358""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MUSTANG PLURON QUIMICA LTDA.;AGUAS MINERAIS SANTA CRUZ LTDA EPP;MUSTANG PLURON QUIMICA LTDA.;Osasco;SP;Rio de Janeiro;RJ;83427/261771;31/10/2025 16:23;;;"=""476861""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MUSTANG PLURON QUIMICA LTDA.;AGUAS MINERAIS SANTA CRUZ LTDA EPP;MUSTANG PLURON QUIMICA LTDA.;Osasco;SP;Rio de Janeiro;RJ;83427/261771;31/10/2025 16:23;;;"=""476862""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MUSTANG PLURON QUIMICA LTDA.;AGUAS MINERAIS SANTA CRUZ LTDA EPP;MUSTANG PLURON QUIMICA LTDA.;Osasco;SP;Rio de Janeiro;RJ;83427/261771;31/10/2025 16:23;;;"=""476863""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;COPELAND DO BRASIL LTDA;OSMAG MATRIZ RIO DE JANEIRO;OSMAG MATRIZ RIO DE JANEIRO;Osasco;SP;Rio de Janeiro;RJ;83447/262013;31/10/2025 17:09;;;"=""146663""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MUSTANG PLURON QUIMICA LTDA.;ENVASADORA RENATA LTDA;MUSTANG PLURON QUIMICA LTDA.;Osasco;SP;Teresópolis;RJ;83450/262027;31/10/2025 17:17;;;"=""477364""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MUSTANG PLURON QUIMICA LTDA.;ENVASADORA RENATA LTDA;MUSTANG PLURON QUIMICA LTDA.;Osasco;SP;Teresópolis;RJ;83450/262027;31/10/2025 17:17;;;"=""477365""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MUSTANG PLURON QUIMICA LTDA.;ENVASADORA RENATA LTDA;MUSTANG PLURON QUIMICA LTDA.;Osasco;SP;Teresópolis;RJ;83450/262027;31/10/2025 17:17;;;"=""477366""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
